H_ID,demo_key,macro_key,cause_key,val,Year,COVID_Period
1,1,1,1,8243,2010,Pre-COVID
2,2,1,1,7490,2010,Pre-COVID
3,3,1,1,312,2010,Pre-COVID
4,4,1,1,250,2010,Pre-COVID
5,5,1,1,202,2010,Pre-COVID
6,6,1,1,175,2010,Pre-COVID
7,7,1,1,160,2010,Pre-COVID
8,8,1,1,110,2010,Pre-COVID
9,1,1,2,101,2010,Pre-COVID
10,9,1,1,166,2010,Pre-COVID
11,10,1,1,122,2010,Pre-COVID
12,11,1,1,153,2010,Pre-COVID
13,12,1,1,125,2010,Pre-COVID
14,13,1,1,149,2010,Pre-COVID
15,14,1,1,111,2010,Pre-COVID
16,15,1,1,158,2010,Pre-COVID
17,16,1,1,126,2010,Pre-COVID
18,17,1,1,215,2010,Pre-COVID
19,18,1,1,151,2010,Pre-COVID
20,19,1,1,345,2010,Pre-COVID
21,20,1,1,223,2010,Pre-COVID
22,21,1,1,460,2010,Pre-COVID
23,22,1,1,317,2010,Pre-COVID
24,23,1,1,620,2010,Pre-COVID
25,24,1,1,435,2010,Pre-COVID
26,25,1,1,787,2010,Pre-COVID
27,26,1,1,582,2010,Pre-COVID
28,27,1,1,685,2010,Pre-COVID
29,28,1,1,553,2010,Pre-COVID
30,29,1,1,844,2010,Pre-COVID
31,30,1,1,802,2010,Pre-COVID
32,31,1,1,866,2010,Pre-COVID
33,32,1,1,823,2010,Pre-COVID
34,33,1,1,6231,2010,Pre-COVID
35,34,1,1,5762,2010,Pre-COVID
36,35,1,1,749,2010,Pre-COVID
37,36,1,1,803,2010,Pre-COVID
38,37,1,1,842,2010,Pre-COVID
39,38,1,1,699,2010,Pre-COVID
40,39,1,1,546,2010,Pre-COVID
41,40,1,1,645,2010,Pre-COVID
42,2,1,2,118,2010,Pre-COVID
43,3,1,2,37,2010,Pre-COVID
44,4,1,2,29,2010,Pre-COVID
45,5,1,2,29,2010,Pre-COVID
46,6,1,2,22,2010,Pre-COVID
47,7,1,2,54,2010,Pre-COVID
48,8,1,2,30,2010,Pre-COVID
49,9,1,2,66,2010,Pre-COVID
50,10,1,2,39,2010,Pre-COVID
51,11,1,2,73,2010,Pre-COVID
52,12,1,2,46,2010,Pre-COVID
53,13,1,2,74,2010,Pre-COVID
54,14,1,2,49,2010,Pre-COVID
55,15,1,2,86,2010,Pre-COVID
56,16,1,2,60,2010,Pre-COVID
57,17,1,2,139,2010,Pre-COVID
58,18,1,2,83,2010,Pre-COVID
59,19,1,2,267,2010,Pre-COVID
60,20,1,2,137,2010,Pre-COVID
61,21,1,2,475,2010,Pre-COVID
62,22,1,2,229,2010,Pre-COVID
63,23,1,2,675,2010,Pre-COVID
64,24,1,2,340,2010,Pre-COVID
65,25,1,2,905,2010,Pre-COVID
66,26,1,2,470,2010,Pre-COVID
67,27,1,2,867,2010,Pre-COVID
68,28,1,2,519,2010,Pre-COVID
69,29,1,2,1141,2010,Pre-COVID
