macro_key,% GDP growth,% Inflation,"Population, total",PM2_5,AQI_Category,Year
1,0.0515,0.1127,84107606,82,Unhealthy,2010
2,0.0176,0.1005,85897561,83,Unhealthy,2011
3,0.0223,0.0712,87813257,85,Unhealthy,2012
4,0.0219,0.0942,89807433,86,Unhealthy,2013
5,0.0292,0.1014,91812566,82,Unhealthy,2014
6,0.0437,0.1036,93778172,80,Unhealthy,2015
7,0.0435,0.1381,95688681,66,Unhealthy,2016
8,0.0418,0.295,97553151,75,Unhealthy,2017
9,0.053,0.144,105682094,72,Unhealthy,2018
10,0.056,0.092,107553158,68,Unhealthy,2019
11,0.036,0.05,109315124,44,Unhealthy for Sensitive Groups,2020
12,0.033,0.052,110957008,50,Unhealthy for Sensitive Groups,2021
13,0.066,0.139,112618250,47,Unhealthy for Sensitive Groups,2022
14,0.038,0.339,114535772,47,Unhealthy for Sensitive Groups,2023
15,0.024,0.283,116538258,42,Unhealthy for Sensitive Groups,2024
16,0.044,0.121,118365995,41,Unhealthy for Sensitive Groups,2025
