demo_key,macro_key,year_key,cause_key,year,val
1,1,1,1,2010,8243
2,1,1,1,2010,7490
3,1,1,1,2010,312
4,1,1,1,2010,250
5,1,1,1,2010,202
6,1,1,1,2010,175
7,1,1,1,2010,160
8,1,1,1,2010,110
1,1,1,2,2010,101
9,1,1,1,2010,166
10,1,1,1,2010,122
11,1,1,1,2010,153
12,1,1,1,2010,125
13,1,1,1,2010,149
14,1,1,1,2010,111
15,1,1,1,2010,158
16,1,1,1,2010,126
17,1,1,1,2010,215
18,1,1,1,2010,151
19,1,1,1,2010,345
20,1,1,1,2010,223
21,1,1,1,2010,460
22,1,1,1,2010,317
23,1,1,1,2010,620
24,1,1,1,2010,435
25,1,1,1,2010,787
26,1,1,1,2010,582
27,1,1,1,2010,685
28,1,1,1,2010,553
29,1,1,1,2010,844
30,1,1,1,2010,802
31,1,1,1,2010,866
32,1,1,1,2010,823
33,1,1,1,2010,6231
34,1,1,1,2010,5762
35,1,1,1,2010,749
36,1,1,1,2010,803
37,1,1,1,2010,842
38,1,1,1,2010,699
39,1,1,1,2010,546
40,1,1,1,2010,645
2,1,1,2,2010,118
3,1,1,2,2010,37
4,1,1,2,2010,29
5,1,1,2,2010,29
6,1,1,2,2010,22
7,1,1,2,2010,54
8,1,1,2,2010,30
9,1,1,2,2010,66
10,1,1,2,2010,39
11,1,1,2,2010,73
12,1,1,2,2010,46
13,1,1,2,2010,74
14,1,1,2,2010,49
15,1,1,2,2010,86
16,1,1,2,2010,60
17,1,1,2,2010,139
18,1,1,2,2010,83
19,1,1,2,2010,267
20,1,1,2,2010,137
21,1,1,2,2010,475
22,1,1,2,2010,229
23,1,1,2,2010,675
24,1,1,2,2010,340
25,1,1,2,2010,905
26,1,1,2,2010,470
27,1,1,2,2010,867
28,1,1,2,2010,519
29,1,1,2,2010,1141
30,1,1,2,2010,722
31,1,1,2,2010,1052
32,1,1,2,2010,757
33,1,1,2,2010,39
34,1,1,2,2010,60
35,1,1,2,2010,858
36,1,1,2,2010,729
37,1,1,2,2010,30
38,1,1,2,2010,26
39,1,1,2,2010,623
40,1,1,2,2010,580
7,1,1,3,2010,28
8,1,1,3,2010,13
9,1,1,3,2010,39
10,1,1,3,2010,19
11,1,1,3,2010,44
12,1,1,3,2010,23
13,1,1,3,2010,42
14,1,1,3,2010,24
15,1,1,3,2010,50
16,1,1,3,2010,29
17,1,1,3,2010,86
18,1,1,3,2010,39
19,1,1,3,2010,174
20,1,1,3,2010,68
21,1,1,3,2010,315
22,1,1,3,2010,133
23,1,1,3,2010,461
24,1,1,3,2010,202
25,1,1,3,2010,666
26,1,1,3,2010,310
27,1,1,3,2010,638
28,1,1,3,2010,343
29,1,1,3,2010,851
30,1,1,3,2010,507
31,1,1,3,2010,790
32,1,1,3,2010,544
35,1,1,3,2010,656
36,1,1,3,2010,541
39,1,1,3,2010,483
40,1,1,3,2010,436
1,1,1,4,2010,39
2,1,1,4,2010,34
3,1,1,4,2010,25
4,1,1,4,2010,19
5,1,1,4,2010,20
6,1,1,4,2010,14
7,1,1,4,2010,19
8,1,1,4,2010,13
9,1,1,4,2010,21
10,1,1,4,2010,14
11,1,1,4,2010,23
12,1,1,4,2010,16
13,1,1,4,2010,25
14,1,1,4,2010,17
15,1,1,4,2010,29
